filename,z0,a,b,delta,rmse,mae,mape,direction_accuracy
initial_value_5_samples_500_a_0.1_b_100_delta_0.5.csv,5,0.1,100,0.5,1.648123521969175,1.2590983492549639,3.527679067749018,54.90981963927856
initial_value_5_samples_500_a_0.2_b_150_delta_2.0.csv,5,0.2,150,2.0,8.002332032724023,5.854028448358929,7.367904701932764,52.30460921843687
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,0.3,120,1.0,5.238232523651557,3.8655361356335707,5.819516261484773,50.300601202404806
initial_value_5_samples_500_a_0.4_b_110_delta_0.1.csv,5,0.4,110,0.1,0.5558072588995222,0.37855037241694023,0.9546533507157987,71.34268537074149
initial_value_5_samples_500_a_0.5_b_130_delta_10.csv,5,0.5,130,10.0,48.762837095584736,37.065923637457445,92.11767756827169,49.45533769063181
initial_value_5_samples_500_a_0.5_b_130_delta_3.0.csv,5,0.5,130,3.0,17.057513599564338,13.00487188502706,13.36451756481751,52.30460921843687
initial_value_5_samples_500_a_0.5_b_130_delta_5.0.csv,5,0.5,130,5.0,24.250305647115898,17.936572513389233,18.417930711241013,53.90781563126252
initial_value_5_samples_500_a_0.6_b_90_delta_1.5.csv,5,0.6,90,1.5,5.376860574185181,4.227697513481861,6.178713944134136,50.50100200400801
initial_value_5_samples_500_a_0.8_b_80_delta_0.3.csv,5,0.8,80,0.3,1.2511372711062976,0.9294093772430738,1.9637515166107862,58.91783567134269
initial_value_80_samples_500_a_0.1_b_100_delta_0.5.csv,80,0.1,100,0.5,2.285916230626626,1.6710434288781195,2.032293349235068,47.29458917835671
initial_value_80_samples_500_a_0.2_b_150_delta_2.0.csv,80,0.2,150,2.0,8.42981629788951,6.761669389442536,8.742388080926416,45.69138276553106
initial_value_80_samples_500_a_0.3_b_120_delta_1.0.csv,80,0.3,120,1.0,5.92458842193029,4.46631435647681,3.5936668377269796,50.1002004008016
initial_value_80_samples_500_a_0.4_b_110_delta_0.1.csv,80,0.4,110,0.1,0.41502533978085254,0.3093389922954233,0.30622513634004866,60.72144288577155
initial_value_80_samples_500_a_0.5_b_130_delta_3.0.csv,80,0.5,130,3.0,14.424084095885977,10.755583449133141,9.776188492758816,50.70140280561122
initial_value_80_samples_500_a_0.6_b_90_delta_1.5.csv,80,0.6,90,1.5,6.505310805223785,5.1641694910879465,4.7959070103333525,49.69939879759519
initial_value_80_samples_500_a_0.8_b_80_delta_0.3.csv,80,0.8,80,0.3,1.6779959183128086,1.2770198834355206,1.5897973456209462,48.296593186372746
